artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes,Duration_min,Value_percentage,energy_perc,speechiness_perc,acousticness_perc,liveness_perc,valence_perc
britney spears,oops!...i did it again,211160,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,3.519333333333333,3.5193333333333334,77.02564102564102,83.48348348348348,7.586805555555556,33.59462486002239,41.61781946072685,91.88078108941419
blink-182,all the small things,167066,False,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,rock,2.7844333333333333,2.7844333333333333,44.51282051282051,89.7897897897898,8.472222222222223,1.1534154535274355,71.74677608440797,70.29804727646454
faith hill,breathe,250546,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,4.175766666666667,4.175766666666667,54.25641025641026,49.64964964964965,5.034722222222223,19.372900335946248,29.425556858147715,28.571428571428577
bon jovi,it's my life,224493,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,3.74155,3.74155,56.51282051282052,91.3913913913914,8.090277777777779,2.9451287793952967,40.6799531066823,55.909558067831455
*nsync,bye bye bye,200560,False,2000,65,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop,3.3426666666666667,3.3426666666666667,62.97435897435898,92.8928928928929,8.958333333333334,4.568868980963046,9.906213364595546,90.33915724563208
sisqo,thong song,253733,True,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,hip hop,4.228883333333333,4.228883333333333,72.41025641025641,88.8888888888889,11.354166666666668,13.325867861142216,8.206330597889803,73.38129496402878
eminem,the real slim shady,284200,True,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop,4.736666666666666,4.736666666666666,97.33333333333333,66.16616616616618,9.930555555555557,3.381858902575588,5.3223915592028135,78.10894141829394
robbie williams,rock dj,258560,False,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,pop,4.309333333333333,4.309333333333333,72.61538461538461,77.27727727727728,5.590277777777778,2.9899216125419934,54.747948417350536,88.48920863309353
destiny's child,say my name,271333,False,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,pop,4.522216666666667,4.522216666666667,73.12820512820512,67.86786786786787,17.708333333333336,30.57110862262038,17.46776084407972,75.43679342240493
modjo,lady - hear me tonight,307153,False,2001,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic,5.1192166666666665,5.1192166666666665,73.84615384615385,80.8808808808809,6.5798611111111125,0.8880179171332585,7.432590855803048,89.31140801644399
gigi d'agostino,l'amour toujours,238759,False,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop,3.9793166666666666,3.9793166666666666,63.282051282051285,72.87287287287288,5.0694444444444455,3.6730123180291154,42.20398593200469,83.04213771839672
eiffel 65,move your body - gabry ponte original radio edit,268863,False,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,4.48105,4.48105,76.41025641025642,95.89589589589589,4.982638888888889,9.104143337066068,62.48534583821805,98.6639260020555
bomfunk mc's,freestyler,306333,False,2000,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop,5.10555,5.10555,84.3076923076923,92.2922922922923,17.170138888888893,3.258678611422172,29.54279015240328,58.37615621788284
sting,desert rose,285960,False,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,rock,4.766,4.766,60.1025641025641,65.96596596596596,5.277777777777779,1.2318029115341544,12.42672919109027,15.107913669064748
melanie c,never be the same again,294200,False,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,pop,4.903333333333333,4.903333333333333,70.66666666666667,68.56856856856858,8.298611111111112,10.313549832026876,13.95076201641266,40.904419321685516
aaliyah,try again,284000,False,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,hip hop,4.733333333333333,4.733333333333333,81.74358974358975,62.262262262262254,50.34722222222222,9.036954087346023,9.859320046893318,75.12846865364851
anastacia,i'm outta love - radio edit,245400,False,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41,pop,4.09,4.09,78.05128205128206,71.67167167167166,9.722222222222223,44.34490481522956,9.038686987104338,66.70092497430628
alice deejay,better off alone,214883,False,2000,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop,3.581383333333333,3.581383333333333,68.82051282051282,88.08808808808809,9.583333333333334,0.20268756998880177,33.41148886283704,80.36998972250771
gigi d'agostino,the riddle,285426,False,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop,4.7571,4.7571,75.8974358974359,87.68768768768768,6.406250000000001,1.9372900335946248,9.202813599062134,84.78931140801645
dr. dre,the next episode,161506,True,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,hip hop,2.691766666666666,2.6917666666666666,94.56410256410257,90.990990990991,46.87500000000001,3.146696528555431,10.035169988276671,31.757451181911616
linkin park,in the end,216880,False,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,rock,3.6146666666666665,3.6146666666666665,57.02564102564103,86.48648648648648,10.138888888888891,1.0727883538633818,24.501758499413835,41.109969167523126
tom jones,sexbomb,211893,False,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,rock,3.53155,3.53155,82.15384615384616,87.68768768768768,7.743055555555555,16.12541993281075,12.192262602579133,95.78622816032889
sonique,it feels so good,240866,False,2000,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop,4.014433333333334,4.014433333333334,65.02564102564102,67.76776776776778,5.277777777777779,1.3101903695408734,14.77139507620164,57.34840698869477
m.o.p.,cold as ice,244466,True,2000,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0.0,0.294,0.758,85.565,hip hop,4.074433333333333,4.074433333333333,67.2820512820513,88.08808808808809,24.82638888888889,4.714445688689809,34.46658851113716,77.90339157245633
melanie c,i turn to you,352173,False,1999,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,pop,5.86955,5.86955,53.53846153846155,80.38038038038039,5.677083333333334,0.13101903695408734,36.34232121922626,8.04727646454265
limp bizkit,take a look around,321040,False,2000,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal,5.350666666666666,5.350666666666666,43.58974358974359,85.28528528528528,7.986111111111112,1.9596864501679732,10.961313012895662,52.6207605344296
darude,sandstorm,225493,False,2001,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,pop,3.7582166666666663,3.7582166666666668,54.15384615384615,96.5965965965966,8.072916666666668,15.789473684210526,9.343493552168814,60.32887975334018
da brat,what'chu like (feat. tyrese),221160,True,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974,hip hop,3.686,3.686,90.15384615384615,68.16816816816818,41.66666666666667,1.9036954087346025,7.842907385697538,83.96711202466598
chicane,don't give up,210786,False,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic,3.5131,3.5131,66.05128205128206,72.07207207207207,7.274305555555556,0.1623740201567749,9.835873388042204,54.47070914696815
debelah morgan,dance with me,220106,False,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,pop,3.668433333333333,3.668433333333333,87.17948717948718,67.46746746746747,6.475694444444445,34.60246360582307,4.173505275498242,76.05344295991779
madonna,music,225973,False,2000,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop,3.7662166666666663,3.7662166666666668,75.48717948717949,80.28028028028028,11.510416666666668,0.1668533034714446,16.412661195779606,89.51695786228161
ruff endz,no more,242560,False,2000,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,R&B,4.042666666666666,4.042666666666666,86.05128205128206,64.16416416416416,14.895833333333336,3.6282194848824187,7.057444314185228,95.27235354573484
